trueCardA,trueCardB,trueCardX,trueJaccardIdx,trueRatio,inclExclMinA,inclExclMaxA,inclExclMeanA,inclExclStdDevA,inclExclRMSEA,inclExclMinB,inclExclMaxB,inclExclMeanB,inclExclStdDevB,inclExclRMSEB,inclExclMinX,inclExclMaxX,inclExclMeanX,inclExclStdDevX,inclExclRMSEX,inclExclMinAX,inclExclMaxAX,inclExclMeanAX,inclExclStdDevAX,inclExclRMSEAX,inclExclMinBX,inclExclMaxBX,inclExclMeanBX,inclExclStdDevBX,inclExclRMSEBX,inclExclMinABX,inclExclMaxABX,inclExclMeanABX,inclExclStdDevABX,inclExclRMSEABX,inclExclMinJaccardIdx,inclExclMaxJaccardIdx,inclExclMeanJaccardIdx,inclExclStdDevJaccardIdx,inclExclRMSEJaccardIdx,maxLikeMinA,maxLikeMaxA,maxLikeMeanA,maxLikeStdDevA,maxLikeRMSEA,maxLikeMinB,maxLikeMaxB,maxLikeMeanB,maxLikeStdDevB,maxLikeRMSEB,maxLikeMinX,maxLikeMaxX,maxLikeMeanX,maxLikeStdDevX,maxLikeRMSEX,maxLikeMinAX,maxLikeMaxAX,maxLikeMeanAX,maxLikeStdDevAX,maxLikeRMSEAX,maxLikeMinBX,maxLikeMaxBX,maxLikeMeanBX,maxLikeStdDevBX,maxLikeRMSEBX,maxLikeMinABX,maxLikeMaxABX,maxLikeMeanABX,maxLikeStdDevABX,maxLikeRMSEABX,maxLikeMinJaccardIdx,maxLikeMaxJaccardIdx,maxLikeMeanJaccardIdx,maxLikeStdDevJaccardIdx,maxLikeRMSEJaccardIdx,improvementStdevA,improvementRmseA,improvementStdevB,improvementRmseB,improvementStdevX,improvementRmseX,improvementStdevAX,improvementRmseAX,improvementStdevBX,improvementRmseBX,improvementStdevABX,improvementRmseABX,improvementStdevJaccard,improvementRmseJaccard,avgNumFunctionEvaluations,avgNumGradientEvaluations
1598728349,251188153,2742179,0.00148013,6.36466,-0.00423074,0.00379452,1.28926e-05,0.00116354,0.00116361,-0.013302,0.013625,3.03478e-05,0.00369822,0.00369835,-1,1.23061,-0.00243745,0.326426,0.326435,-0.00351524,0.00368163,8.69689e-06,0.00101373,0.00101377,-0.00402988,0.00349443,3.69824e-06,0.00101817,0.00101817,-0.00364459,0.00338598,1.16324e-05,0.00101229,0.00101236,-1,1.23869,-0.00228853,0.326902,0.32691,-0.00344392,0.00381197,9.7455e-06,0.00103611,0.00103616,-0.00573296,0.0129192,1.08225e-05,0.00157624,0.00157628,-1,0.353677,-0.000746955,0.11157,0.111572,-0.00351949,0.00368334,8.44981e-06,0.0010136,0.00101363,-0.00403081,0.00349431,2.63926e-06,0.00101706,0.00101707,-0.00313447,0.00318327,8.7715e-06,0.000903422,0.000903464,-1,0.355099,-0.00073533,0.111701,0.111703,1.12298,1.123,2.34623,2.34625,2.92575,2.92577,1.00013,1.00013,1.00108,1.00109,1.12051,1.12053,2.92658,2.92659,36.207,36.207
13049219720,5945604476,103608860,0.00542499,2.19477,-0.00524053,0.00548033,-2.28466e-05,0.00141681,0.00141699,-0.0079545,0.00781756,-4.70229e-05,0.0023017,0.00230218,-0.385462,0.432068,0.00366169,0.119715,0.119771,-0.00378278,0.00345716,6.17758e-06,0.00103606,0.00103608,-0.00306553,0.00318972,1.64986e-05,0.00100062,0.00100076,-0.0042386,0.00409433,-1.03845e-05,0.00101636,0.00101641,-0.38753,0.437405,0.00375066,0.12037,0.120429,-0.00366094,0.0033922,-2.52263e-06,0.00108664,0.00108664,-0.00419902,0.0037201,-2.96029e-06,0.00121581,0.00121581,-0.149382,0.127236,0.00113147,0.0401552,0.0401711,-0.00378235,0.00344568,6.41019e-06,0.00103599,0.00103601,-0.00306517,0.00319087,1.64699e-05,0.00100069,0.00100082,-0.00283366,0.0028961,3.49303e-06,0.000806997,0.000807004,-0.150174,0.128927,0.00113646,0.0403573,0.0403733,1.30384,1.30401,1.89314,1.89353,2.9813,2.98151,1.00007,1.00007,0.999932,0.999933,1.25943,1.25949,2.98261,2.98288,38.7357,38.7357
144199,1608,3457,0.0231603,89.676,-0.00252492,0.00241329,-7.71937e-06,0.000711769,0.00071181,-0.0329088,0.0378356,-4.86762e-05,0.00964283,0.00964296,-0.0162467,0.0159446,4.08139e-05,0.00450355,0.00450374,-0.00252549,0.00226605,-6.58309e-06,0.000689181,0.000689212,-0.00235864,0.00221138,1.24032e-05,0.000698198,0.000698308,-0.00242461,0.00235262,-7.03655e-06,0.000687581,0.000687617,-0.0163276,0.0161099,4.87178e-05,0.00464161,0.00464186,-0.00264677,0.00231177,-8.02118e-06,0.000706017,0.000706063,-0.0251277,0.023856,-9.10575e-06,0.00715229,0.0071523,-0.0108558,0.0114239,2.31007e-05,0.00336948,0.00336956,-0.00266499,0.00223655,-7.29254e-06,0.000688024,0.000688063,-0.00239108,0.00225783,1.2876e-05,0.000697981,0.0006981,-0.00254451,0.00221277,-7.31207e-06,0.000682059,0.000682098,-0.011532,0.0108691,3.10369e-05,0.00348371,0.00348385,1.00815,1.00814,1.34822,1.34823,1.33657,1.33659,1.00168,1.00167,1.00031,1.0003,1.0081,1.00809,1.33237,1.33239,25.7765,25.7765
36085381,8525744,3516662,0.0730693,4.23252,-0.00475331,0.00476322,-6.39501e-05,0.00131886,0.00132041,-0.01182,0.0109918,-9.05988e-05,0.00329788,0.00329913,-0.0263967,0.0242042,0.000165275,0.00764751,0.0076493,-0.00359581,0.00309413,-4.35949e-05,0.000998205,0.000999156,-0.00368101,0.00329808,-1.58776e-05,0.000968574,0.000968704,-0.00385752,0.00344671,-5.19215e-05,0.00101873,0.00102005,-0.0273626,0.0265666,0.000222255,0.00821875,0.00822176,-0.0037695,0.00383133,-5.02292e-05,0.00110726,0.0011084,-0.00849029,0.0070985,-4.55258e-05,0.00202217,0.00202268,-0.0146908,0.0163834,5.63087e-05,0.00439884,0.0043992,-0.00357564,0.00302796,-4.07687e-05,0.000989473,0.000990313,-0.00364563,0.00329631,-1.57878e-05,0.000968424,0.000968552,-0.00310565,0.00273726,-4.16114e-05,0.00086314,0.000864142,-0.016258,0.0170326,9.93258e-05,0.00462704,0.00462811,1.1911,1.19128,1.63087,1.63107,1.73853,1.73879,1.00882,1.00893,1.00016,1.00016,1.18026,1.18042,1.77624,1.77648,42.4311,42.4311
652906563,42736075,23996891,0.0333457,15.2776,-0.00396267,0.00378571,1.92485e-05,0.0011012,0.00110137,-0.0206078,0.0222366,-0.000155298,0.0057373,0.0057394,-0.0369003,0.0337964,0.000247782,0.0100908,0.0100939,-0.00350078,0.00335747,2.73503e-05,0.0010123,0.00101267,-0.0034681,0.0037212,-1.03517e-05,0.00102522,0.00102528,-0.00359112,0.00347195,1.65037e-05,0.00100399,0.00100412,-0.0389408,0.0368258,0.00023526,0.0104302,0.0104329,-0.00409112,0.00356865,2.87812e-05,0.00104397,0.00104437,-0.0120321,0.0117749,-2.65724e-05,0.0034819,0.003482,-0.0191711,0.0214913,1.91131e-05,0.00606036,0.00606039,-0.00347189,0.00330274,2.84385e-05,0.00100863,0.00100903,-0.00346757,0.00371985,-1.01441e-05,0.0010251,0.00102515,-0.00357728,0.00321776,2.51716e-05,0.000951816,0.000952149,-0.0202332,0.0209753,-4.69141e-06,0.00620919,0.00620919,1.05482,1.05458,1.64775,1.64831,1.66505,1.66555,1.00364,1.00361,1.00012,1.00012,1.05481,1.05459,1.6798,1.68023,42.1341,42.1341
74772,2617,235,0.00302741,28.5716,-0.00237034,0.00260645,-1.37405e-05,0.000727069,0.000727199,-0.017317,0.0176733,-5.56734e-05,0.00524004,0.00524034,-0.187953,0.197899,0.000397353,0.0576692,0.0576705,-0.00239191,0.00239742,-1.24525e-05,0.00070868,0.000708789,-0.00323392,0.00138935,-1.83448e-05,0.00069757,0.000697812,-0.00231064,0.00253508,-1.39097e-05,0.000701037,0.000701175,-0.188609,0.197323,0.000420367,0.0578259,0.0578274,-0.0023479,0.00247328,-1.27529e-05,0.000716954,0.000717068,-0.0122865,0.0120254,-2.25003e-05,0.00318434,0.00318442,-0.130086,0.127682,3.04834e-05,0.0345499,0.0345499,-0.00239769,0.00239679,-1.26174e-05,0.000708699,0.000708811,-0.003225,0.00139691,-1.81345e-05,0.000697518,0.000697753,-0.00227314,0.00240644,-1.29506e-05,0.000691208,0.00069133,-0.130644,0.129149,4.70265e-05,0.0346484,0.0346484,1.01411,1.01413,1.64557,1.64562,1.66916,1.6692,0.999973,0.999969,1.00008,1.00008,1.01422,1.01424,1.66893,1.66898,22.5074,22.5074
148568,12597,7147,0.0424628,11.7939,-0.00282453,0.00278437,-1.07328e-05,0.000774139,0.000774214,-0.0120136,0.0142416,-3.75169e-05,0.00354076,0.00354096,-0.0244772,0.0199686,7.91812e-05,0.00599516,0.00599569,-0.00263609,0.00226922,-6.60589e-06,0.000694576,0.000694607,-0.00227451,0.00235859,4.72588e-06,0.00070163,0.000701646,-0.00256749,0.00245677,-8.91937e-06,0.000686178,0.000686236,-0.0248771,0.0216545,8.99554e-05,0.00625931,0.00625996,-0.00261721,0.00247271,-8.75191e-06,0.00073395,0.000734003,-0.00901736,0.00821333,-1.49137e-05,0.00245254,0.00245259,-0.0167327,0.0153368,4.0745e-05,0.00410983,0.00411003,-0.00258685,0.00231359,-6.4801e-06,0.000691919,0.000691949,-0.0022767,0.00234601,5.23383e-06,0.000698563,0.000698582,-0.00237737,0.00232292,-7.1113e-06,0.000649358,0.000649397,-0.0173852,0.0169322,4.8713e-05,0.00426397,0.00426425,1.05476,1.05478,1.44371,1.44377,1.45874,1.45879,1.00384,1.00384,1.00439,1.00439,1.0567,1.05673,1.46795,1.46801,30.1425,30.1425
3837563445,277467992,104644949,0.0247993,13.8307,-0.00404031,0.00431819,3.52861e-05,0.0011063,0.00110686,-0.0176048,0.0210852,8.60254e-05,0.00548096,0.00548163,-0.051288,0.0470253,-0.000199572,0.0142749,0.0142763,-0.00358538,0.00356337,2.90518e-05,0.00100571,0.00100613,-0.00404286,0.00360412,7.8121e-06,0.00101034,0.00101037,-0.00370157,0.0039472,3.27982e-05,0.00101025,0.00101079,-0.0524392,0.0480611,-0.000226282,0.0146591,0.0146608,-0.0034688,0.00382626,3.14108e-05,0.00104291,0.00104339,-0.00989425,0.0101499,4.73057e-05,0.00313298,0.00313334,-0.0263961,0.030667,-9.70058e-05,0.00787371,0.0078743,-0.00348899,0.00358729,2.8002e-05,0.00100344,0.00100383,-0.00403516,0.00361142,7.78476e-06,0.0010104,0.00101043,-0.00340889,0.00349307,2.92714e-05,0.000952655,0.000953104,-0.0275342,0.0305885,-0.00012426,0.00806888,0.00806984,1.06078,1.06083,1.74944,1.74946,1.81298,1.81302,1.00226,1.00228,0.999934,0.999934,1.06046,1.06052,1.81674,1.81674,42.3351,42.3351
84256,1624,402,0.00465914,51.8818,-0.00272176,0.00238664,1.29682e-05,0.000721838,0.000721954,-0.0278321,0.0230852,0.000134014,0.00714278,0.00714404,-0.0933222,0.117343,-0.000570604,0.0286857,0.0286914,-0.00241395,0.00221509,1.01971e-05,0.000709519,0.000709592,-0.00299816,0.00100368,-5.79695e-06,0.000685971,0.000685996,-0.00265869,0.00234136,1.25276e-05,0.000704754,0.000704865,-0.0935928,0.118268,-0.000579405,0.0288057,0.0288115,-0.0024578,0.00226895,1.09505e-05,0.000715297,0.000715381,-0.0191692,0.0132081,4.15891e-05,0.00448917,0.00448937,-0.055848,0.0722306,-0.000198045,0.0178828,0.0178839,-0.00238897,0.00219857,9.95807e-06,0.000709903,0.000709973,-0.00299004,0.00102875,-5.95923e-06,0.000686214,0.00068624,-0.00240029,0.00222629,1.05534e-05,0.000698352,0.000698432,-0.056145,0.0715338,-0.000207077,0.0179533,0.0179545,1.00914,1.00919,1.59111,1.59132,1.6041,1.60431,0.999459,0.999464,0.999645,0.999643,1.00917,1.00921,1.60448,1.60469,22.2865,22.2865
122704431,36085381,32994301,0.172039,3.40039,-0.00475122,0.0053145,-3.68779e-06,0.00146087,0.00146088,-0.0103947,0.0104229,3.4318e-05,0.00312474,0.00312493,-0.010832,0.0107738,-1.70027e-06,0.00321097,0.00321097,-0.00316723,0.00335456,-3.26661e-06,0.00101937,0.00101938,-0.0031874,0.00332564,1.71147e-05,0.00100197,0.00100211,-0.00324356,0.00365713,3.80517e-06,0.00100959,0.00100959,-0.0129206,0.0122631,-3.31166e-06,0.00369837,0.00369837,-0.00449042,0.0045008,-4.44854e-06,0.00124504,0.00124504,-0.0081286,0.00826262,3.78775e-05,0.00221647,0.0022168,-0.00776319,0.00794948,-4.51817e-06,0.00229213,0.00229214,-0.00326547,0.00319242,-4.4633e-06,0.00100368,0.00100369,-0.00310449,0.00332009,1.76282e-05,0.000999001,0.000999157,-0.00281282,0.00295945,3.50338e-06,0.000868994,0.000869001,-0.00901813,0.00936183,-7.22268e-06,0.00246919,0.0024692,1.17336,1.17335,1.40978,1.40966,1.40087,1.40086,1.01564,1.01563,1.00297,1.00296,1.16179,1.16179,1.49781,1.4978,42.0993,42.0993
22160727,6987227,586521,0.0197253,3.17161,-0.00451422,0.00425769,-5.03023e-05,0.00127201,0.00127301,-0.0116346,0.0112835,-5.58506e-05,0.00273388,0.00273445,-0.109552,0.12099,0.000370015,0.0306998,0.030702,-0.00326136,0.00364598,-3.94647e-05,0.000966859,0.000967664,-0.00364343,0.00402918,-2.2871e-05,0.000926063,0.000926346,-0.00333557,0.00307572,-4.33152e-05,0.00097349,0.000974453,-0.111997,0.124141,0.000432262,0.0312954,0.0312984,-0.00319485,0.00412305,-4.31382e-05,0.00103328,0.00103418,-0.00473266,0.00588935,-3.56633e-05,0.00145325,0.00145368,-0.0451324,0.0528262,0.00012821,0.0135737,0.0135743,-0.00327102,0.00367698,-3.87202e-05,0.00096642,0.000967196,-0.00362832,0.00402837,-2.29727e-05,0.000926206,0.000926491,-0.00241022,0.00297491,-3.80018e-05,0.000800509,0.000801411,-0.043921,0.0529582,0.000169581,0.0137963,0.0137973,1.23104,1.23093,1.88123,1.88105,2.26171,2.26177,1.00045,1.00048,0.999846,0.999844,1.21609,1.21592,2.26839,2.26844,41.7171,41.7171
48156078,4333904,1313150,0.0244066,11.1115,-0.00391386,0.00406393,5.65093e-06,0.00112705,0.00112707,-0.0163093,0.0179979,2.65264e-05,0.00504488,0.00504495,-0.0538331,0.0569328,-0.000120391,0.0163074,0.0163079,-0.00323649,0.00358038,2.30518e-06,0.000992769,0.000992772,-0.00328608,0.00299912,-7.63727e-06,0.000908883,0.000908915,-0.00347038,0.00366514,4.25623e-06,0.00101283,0.00101284,-0.05582,0.0592612,-0.000116647,0.0167594,0.0167598,-0.00344532,0.00394416,6.82131e-06,0.00102792,0.00102794,-0.00944863,0.00917381,5.26535e-06,0.0027338,0.00273381,-0.030339,0.0280678,-5.15106e-05,0.00853897,0.00853913,-0.00315872,0.00362593,5.2729e-06,0.000988214,0.000988228,-0.00328507,0.00299164,-7.93718e-06,0.000908778,0.000908812,-0.00305051,0.00372567,5.27229e-06,0.000923495,0.00092351,-0.0311711,0.0291186,-5.46949e-05,0.00873167,0.00873184,1.09644,1.09643,1.84537,1.84539,1.90977,1.90978,1.00461,1.0046,1.00012,1.00011,1.09674,1.09673,1.91938,1.91939,42.234,42.234
184928,117006,27370,0.0831147,1.5805,-0.00392246,0.00371453,-1.25509e-05,0.00116877,0.00116884,-0.00493177,0.00571923,2.20431e-05,0.00154618,0.00154633,-0.01981,0.0190465,-5.16502e-05,0.00566128,0.00566151,-0.00229198,0.00235833,-1.75917e-05,0.00071355,0.000713767,-0.00277732,0.00234318,8.07276e-06,0.000702269,0.000702316,-0.0024944,0.00220525,-3.50894e-06,0.000719351,0.000719359,-0.0209121,0.0209716,-4.50601e-05,0.00613979,0.00613996,-0.00324294,0.00342354,-2.60561e-06,0.000904143,0.000904147,-0.00350464,0.00363972,3.77288e-05,0.00110988,0.00111052,-0.0141093,0.0166235,-0.000113758,0.00360778,0.00360957,-0.00227966,0.00237986,-1.69356e-05,0.000705309,0.000705513,-0.00288913,0.00234109,9.01076e-06,0.000697783,0.000697841,-0.00191429,0.00186769,2.48733e-06,0.000574949,0.000574954,-0.0155211,0.017711,-0.000115235,0.00383485,0.00383658,1.29269,1.29276,1.3931,1.39244,1.56919,1.56847,1.01168,1.0117,1.00643,1.00641,1.25116,1.25116,1.60105,1.60037,34.9043,34.9043
17149,2540,1530,0.0721052,6.75157,-0.00323742,0.00280079,-8.60775e-07,0.000844699,0.0008447,-0.00990262,0.00882057,-1.82006e-05,0.00275395,0.00275401,-0.0153652,0.0151063,4.06065e-06,0.00431792,0.00431793,-0.00300253,0.00239318,-4.5766e-07,0.000690212,0.000690212,-0.00323569,0.00171479,-9.83211e-06,0.000687026,0.000687097,-0.00276006,0.0023009,-2.58156e-06,0.000699647,0.000699651,-0.0159796,0.0171738,8.43688e-06,0.00466336,0.00466336,-0.00323898,0.00261163,-1.31913e-05,0.000768382,0.000768496,-0.00709102,0.00562044,-7.14368e-05,0.00191973,0.00192106,-0.0115932,0.0126196,9.20635e-05,0.00299777,0.00299918,-0.0029304,0.0023864,-4.56984e-06,0.000685603,0.000685618,-0.00306862,0.00185273,-9.97351e-06,0.000681902,0.000681974,-0.00249308,0.00219497,-1.25741e-05,0.000634908,0.000635032,-0.0121346,0.0137886,0.000105438,0.00319102,0.00319276,1.09932,1.09916,1.43455,1.43359,1.44038,1.4397,1.00672,1.0067,1.00752,1.00751,1.10197,1.10176,1.4614,1.46061,21.7336,21.7336
19279012,2939988,873249,0.0378157,6.55751,-0.00477463,0.00460694,-3.1337e-05,0.00115286,0.00115329,-0.0148222,0.0125152,-3.78989e-05,0.00387502,0.0038752,-0.0418582,0.0444668,1.72307e-05,0.0126657,0.0126657,-0.00325493,0.00346357,-2.92325e-05,0.000957942,0.000958388,-0.00325549,0.00269747,-2.5274e-05,0.000867904,0.000868272,-0.00406506,0.00387446,-3.03358e-05,0.000970688,0.000971162,-0.0435264,0.0470778,5.44656e-05,0.0131642,0.0131644,-0.00331415,0.00355007,-2.04244e-05,0.00101324,0.00101345,-0.00706587,0.00688822,2.103e-05,0.00218553,0.00218563,-0.0214878,0.0276286,-0.000180961,0.00687603,0.00687841,-0.00335769,0.00351658,-2.73809e-05,0.000954071,0.000954464,-0.00324243,0.00266804,-2.52269e-05,0.000867818,0.000868184,-0.00275897,0.00302583,-2.12175e-05,0.000852393,0.000852657,-0.0215332,0.029418,-0.000157973,0.00707848,0.00708025,1.1378,1.13799,1.77304,1.77304,1.842,1.84137,1.00406,1.00411,1.0001,1.0001,1.13878,1.13898,1.85975,1.85931,42,42
1602292,23812,2277,0.00139832,67.2893,-0.00255512,0.00266704,-1.30006e-05,0.000773118,0.000773227,-0.0383136,0.0330501,-0.000203392,0.00979714,0.00979925,-0.34191,0.409647,0.00205701,0.102028,0.102049,-0.00258488,0.0027594,-1.00631e-05,0.000761476,0.000761543,-0.00227248,0.00218127,-6.10776e-06,0.000689134,0.000689161,-0.00250871,0.00262209,-1.28902e-05,0.000760833,0.000760943,-0.342338,0.41014,0.00208342,0.102159,0.10218,-0.00255629,0.00287218,-1.09089e-05,0.000764563,0.000764641,-0.0156571,0.0167622,-6.70374e-05,0.00472764,0.00472811,-0.17541,0.165532,0.00063068,0.0486879,0.048692,-0.00258478,0.00277698,-9.99847e-06,0.000761423,0.000761489,-0.00227617,0.00218812,-6.14193e-06,0.000689103,0.00068913,-0.0025184,0.00282394,-1.08326e-05,0.000752402,0.00075248,-0.175605,0.166998,0.000644839,0.0487509,0.0487551,1.01119,1.01123,2.07231,2.07255,2.09555,2.0958,1.00007,1.00007,1.00005,1.00004,1.01121,1.01125,2.09554,2.09579,30.1278,30.1278
