trueCardA,trueCardB,trueCardX,trueJaccardIdx,trueRatio,inclExclMinA,inclExclMaxA,inclExclMeanA,inclExclStdDevA,inclExclRMSEA,inclExclMinB,inclExclMaxB,inclExclMeanB,inclExclStdDevB,inclExclRMSEB,inclExclMinX,inclExclMaxX,inclExclMeanX,inclExclStdDevX,inclExclRMSEX,inclExclMinAX,inclExclMaxAX,inclExclMeanAX,inclExclStdDevAX,inclExclRMSEAX,inclExclMinBX,inclExclMaxBX,inclExclMeanBX,inclExclStdDevBX,inclExclRMSEBX,inclExclMinABX,inclExclMaxABX,inclExclMeanABX,inclExclStdDevABX,inclExclRMSEABX,inclExclMinJaccardIdx,inclExclMaxJaccardIdx,inclExclMeanJaccardIdx,inclExclStdDevJaccardIdx,inclExclRMSEJaccardIdx,maxLikeMinA,maxLikeMaxA,maxLikeMeanA,maxLikeStdDevA,maxLikeRMSEA,maxLikeMinB,maxLikeMaxB,maxLikeMeanB,maxLikeStdDevB,maxLikeRMSEB,maxLikeMinX,maxLikeMaxX,maxLikeMeanX,maxLikeStdDevX,maxLikeRMSEX,maxLikeMinAX,maxLikeMaxAX,maxLikeMeanAX,maxLikeStdDevAX,maxLikeRMSEAX,maxLikeMinBX,maxLikeMaxBX,maxLikeMeanBX,maxLikeStdDevBX,maxLikeRMSEBX,maxLikeMinABX,maxLikeMaxABX,maxLikeMeanABX,maxLikeStdDevABX,maxLikeRMSEABX,maxLikeMinJaccardIdx,maxLikeMaxJaccardIdx,maxLikeMeanJaccardIdx,maxLikeStdDevJaccardIdx,maxLikeRMSEJaccardIdx,improvementStdevA,improvementRmseA,improvementStdevB,improvementRmseB,improvementStdevX,improvementRmseX,improvementStdevAX,improvementRmseAX,improvementStdevBX,improvementRmseBX,improvementStdevABX,improvementRmseABX,improvementStdevJaccard,improvementRmseJaccard,avgNumFunctionEvaluations,avgNumGradientEvaluations
99786,1923,2805,0.0268385,51.8908,-0.00326671,0.00254475,-1.34391e-05,0.000738388,0.00073851,-0.0273173,0.0257167,-0.000144112,0.00728592,0.00728734,-0.0178095,0.0193102,0.000111479,0.00498556,0.0049868,-0.00308223,0.00248703,-1.00236e-05,0.000705777,0.000705848,-0.00367744,0.0019972,7.52361e-06,0.000703666,0.000703707,-0.00311299,0.00242474,-1.24908e-05,0.000706666,0.000706776,-0.0185086,0.02034,0.000125105,0.00515966,0.00516117,-0.00303008,0.00253664,-1.33701e-05,0.000722913,0.000723036,-0.0200016,0.0191329,-0.000137039,0.00539211,0.00539385,-0.0134952,0.014199,0.000106725,0.0037269,0.00372843,-0.00295227,0.00251094,-1.00866e-05,0.000702124,0.000702197,-0.0036727,0.0020522,7.57983e-06,0.000703133,0.000703174,-0.00288678,0.00241573,-1.24224e-05,0.000691718,0.00069183,-0.0131421,0.0145113,0.000119818,0.00384044,0.00384231,1.02141,1.0214,1.35122,1.35105,1.33772,1.33751,1.0052,1.0052,1.00076,1.00076,1.02161,1.0216,1.34351,1.34325,25.0597,25.0597
61756895,744726,974256,0.0153484,82.9257,-0.00338373,0.00375282,7.71121e-06,0.00102192,0.00102195,-0.0436313,0.0550619,0.000102027,0.0133469,0.0133473,-0.0415093,0.0320786,-9.80015e-05,0.0102177,0.0102182,-0.00335719,0.00368445,6.06943e-06,0.000993915,0.000993933,-0.00245624,0.00266953,-1.13418e-05,0.000793342,0.000793423,-0.00322586,0.00366881,7.19524e-06,0.000994297,0.000994323,-0.0418807,0.0331244,-0.000102651,0.0104162,0.0104167,-0.00326356,0.00369477,1.1547e-05,0.00100741,0.00100747,-0.0301238,0.0312081,9.58561e-05,0.00898602,0.00898653,-0.0217364,0.0261457,-9.33861e-05,0.00687772,0.00687835,-0.00322598,0.00366453,9.9173e-06,0.000990439,0.000990488,-0.00245519,0.00267249,-1.13995e-05,0.000793339,0.000793421,-0.00314548,0.00361232,1.09256e-05,0.00098024,0.000980301,-0.0226304,0.0259701,-0.000102919,0.0070089,0.00700966,1.01441,1.01437,1.4853,1.48526,1.48563,1.48556,1.00351,1.00348,1,1,1.01434,1.0143,1.48614,1.48605,41.0375,41.0375
10277123441,352310724,1783650614,0.143691,29.1706,-0.00451098,0.00372975,-2.51008e-06,0.00117266,0.00117266,-0.0267099,0.0323744,7.56324e-05,0.00808026,0.00808062,-0.00801913,0.00742099,1.83873e-05,0.00185366,0.00185375,-0.00389934,0.00316416,5.80398e-07,0.000985835,0.000985835,-0.00377646,0.00343564,2.78294e-05,0.00100332,0.0010037,-0.00385568,0.00328292,2.71054e-06,0.000991157,0.000991161,-0.00900516,0.00841211,1.68258e-05,0.00217982,0.00217989,-0.00421446,0.00333079,-7.79283e-06,0.00108694,0.00108697,-0.0282943,0.0217231,-8.04674e-05,0.00635029,0.0063508,-0.00503347,0.00656529,4.84015e-05,0.00156704,0.00156778,-0.00373216,0.00286193,5.17676e-07,0.000943609,0.000943609,-0.00380284,0.00342132,2.71456e-05,0.00100341,0.00100377,-0.00360928,0.00282995,-1.78086e-06,0.000922108,0.00092211,-0.00580333,0.00761527,5.09352e-05,0.00176377,0.00176451,1.07887,1.07884,1.27242,1.27238,1.18291,1.1824,1.04475,1.04475,0.999911,0.99993,1.07488,1.07488,1.23589,1.23541,40.8251,40.8251
134200029,11958008,15335333,0.0949595,11.2226,-0.00402263,0.00466521,1.89855e-05,0.00124141,0.00124156,-0.0178378,0.0189136,-5.42071e-05,0.00513489,0.00513518,-0.0142013,0.0138061,3.21492e-05,0.0040096,0.00400973,-0.00373836,0.0038417,2.03355e-05,0.00105388,0.00105408,-0.00321078,0.00451302,-5.68603e-06,0.000999707,0.000999724,-0.00344021,0.00366461,1.48158e-05,0.0010453,0.0010454,-0.0156285,0.0160395,1.96256e-05,0.00442336,0.00442341,-0.00422816,0.00420543,2.08654e-05,0.00114079,0.00114098,-0.0147711,0.0117224,-1.61888e-05,0.00358699,0.00358702,-0.0112243,0.00892221,3.23207e-06,0.00284393,0.00284393,-0.00359934,0.00381035,1.9057e-05,0.00103632,0.0010365,-0.00318829,0.00449934,-5.27676e-06,0.000999759,0.000999773,-0.00348076,0.00360308,1.64472e-05,0.000961051,0.000961192,-0.0113627,0.0096948,-1.21868e-05,0.00303638,0.00303641,1.08821,1.08815,1.43153,1.4316,1.40988,1.40992,1.01694,1.01696,0.999949,0.999951,1.08766,1.08761,1.45679,1.45679,41.6415,41.6415
110226,1205,691,0.00616293,91.4739,-0.00239711,0.00280856,-4.53591e-06,0.000712958,0.000712972,-0.0354769,0.0286722,2.21902e-05,0.00944389,0.00944391,-0.051413,0.0600347,-7.91648e-05,0.0164131,0.0164133,-0.00245161,0.00262929,-5.00084e-06,0.000700107,0.000700125,-0.00387196,0.000945324,-1.47488e-05,0.000698465,0.000698621,-0.00234145,0.00274956,-4.70861e-06,0.000700776,0.000700792,-0.0513567,0.0609851,-7.22007e-05,0.0165356,0.0165358,-0.00242321,0.00277951,-3.44742e-06,0.000705789,0.000705797,-0.0240572,0.0228157,8.95918e-05,0.00652105,0.00652167,-0.0374338,0.0402934,-0.000196659,0.0112988,0.0113005,-0.00247532,0.00260563,-4.65111e-06,0.000699122,0.000699138,-0.0038987,0.00096979,-1.47327e-05,0.000698445,0.000698601,-0.00240277,0.00271241,-3.63826e-06,0.00069373,0.000693739,-0.0380414,0.0403636,-0.000191901,0.0113761,0.0113777,1.01016,1.01017,1.44822,1.44808,1.45265,1.45244,1.00141,1.00141,1.00003,1.00003,1.01016,1.01017,1.45354,1.45335,22.8344,22.8344
773240139,13474584,20465059,0.0253538,57.3851,-0.00353077,0.00464061,5.28548e-06,0.001058,0.00105802,-0.0381712,0.0406568,9.5658e-05,0.0106874,0.0106878,-0.0283749,0.0250724,-1.38465e-05,0.00709961,0.00709962,-0.00340237,0.00409545,4.79218e-06,0.00101366,0.00101367,-0.00402962,0.00314879,2.96285e-05,0.000997946,0.000998386,-0.00335365,0.00438535,6.30904e-06,0.00101441,0.00101443,-0.0289923,0.0255899,-1.78685e-05,0.00734498,0.007345,-0.00345006,0.00402043,1.03676e-05,0.00103557,0.00103562,-0.0331221,0.0288766,0.000151028,0.00752758,0.00752909,-0.0182409,0.0212967,-5.03774e-05,0.00503197,0.00503222,-0.00333893,0.00393823,8.80133e-06,0.001008,0.00100804,-0.00402466,0.00315028,2.95837e-05,0.000997976,0.000998414,-0.00321769,0.00379105,1.11756e-05,0.000992965,0.000993028,-0.0180826,0.0207656,-6.02564e-05,0.00518913,0.00518948,1.02166,1.02162,1.41976,1.41954,1.4109,1.41083,1.00561,1.00559,0.99997,0.999971,1.0216,1.02156,1.41545,1.41536,41.5974,41.5974
307179,5046,8549,0.0266512,60.8757,-0.00259099,0.00252764,7.84098e-06,0.000729814,0.000729856,-0.0300014,0.0290664,-0.000106812,0.00811638,0.00811709,-0.0169404,0.0172552,7.83275e-05,0.00472579,0.00472644,-0.00244042,0.00253351,9.74955e-06,0.000695242,0.000695311,-0.00253893,0.00218778,9.60989e-06,0.000704993,0.000705059,-0.00247652,0.00245269,7.91595e-06,0.000699983,0.000700028,-0.0174415,0.0182569,7.15685e-05,0.00491515,0.00491567,-0.00241297,0.0025511,8.4003e-06,0.000712735,0.000712785,-0.0198834,0.0190663,-7.13492e-05,0.00590446,0.00590489,-0.0120761,0.0116066,5.78669e-05,0.00347912,0.0034796,-0.00248265,0.00249577,9.73971e-06,0.000691137,0.000691206,-0.0025518,0.00220743,9.90628e-06,0.000702505,0.000702574,-0.00237724,0.00247912,8.46413e-06,0.000683282,0.000683334,-0.0135914,0.0123704,5.00723e-05,0.00360241,0.00360276,1.02396,1.02395,1.37462,1.37464,1.35833,1.35833,1.00594,1.00594,1.00354,1.00354,1.02444,1.02443,1.36441,1.36442,29.4731,29.4731
74032,16317,6343,0.0656,4.53711,-0.00289231,0.00285697,-1.12932e-05,0.000883082,0.000883154,-0.00796523,0.00930769,-2.24095e-05,0.00231633,0.00231644,-0.0195924,0.0221403,4.13663e-05,0.00547565,0.00547581,-0.00237115,0.00231027,-7.13745e-06,0.000709682,0.000709718,-0.00247594,0.00208402,-4.55732e-06,0.000683023,0.000683039,-0.00259624,0.00230752,-9.71464e-06,0.000694232,0.0006943,-0.0208385,0.0234355,5.33647e-05,0.00583695,0.0058372,-0.00288046,0.00271809,-4.75758e-06,0.000785061,0.000785075,-0.00643074,0.00724408,1.61633e-06,0.00161652,0.00161652,-0.0146188,0.0124901,-1.8945e-05,0.00367559,0.00367564,-0.00239786,0.00242143,-5.87722e-06,0.000704475,0.0007045,-0.00238984,0.00206851,-4.13921e-06,0.000679679,0.000679692,-0.00244002,0.00215006,-4.61267e-06,0.000615383,0.0006154,-0.0155082,0.0139659,-1.34398e-05,0.00386222,0.00386225,1.12486,1.12493,1.43291,1.43297,1.48973,1.48976,1.00739,1.00741,1.00492,1.00492,1.12813,1.12821,1.51129,1.51135,29.3276,29.3276
50221,4898,958,0.0170837,10.2534,-0.00259004,0.00273561,-1.34689e-05,0.000787988,0.000788103,-0.0111924,0.0102603,-3.02727e-05,0.00322898,0.00322912,-0.0561996,0.0628131,0.000163443,0.016145,0.0161458,-0.00296598,0.00224503,-1.01574e-05,0.000710874,0.000710946,-0.00235772,0.00211235,1.41785e-06,0.00067829,0.000678292,-0.00231233,0.00252632,-1.19143e-05,0.000708378,0.000708478,-0.0565508,0.0637606,0.000180299,0.0164333,0.0164343,-0.0029204,0.00252357,-8.37857e-06,0.000745278,0.000745326,-0.00667718,0.00772599,2.05881e-05,0.00205824,0.00205834,-0.0374067,0.0323322,-9.27911e-05,0.00995381,0.00995424,-0.00300286,0.00224916,-9.95865e-06,0.000710116,0.000710186,-0.00231302,0.00212777,2.04005e-06,0.000678162,0.000678165,-0.00255912,0.00231081,-7.29057e-06,0.000670368,0.000670407,-0.0373745,0.0325706,-8.35072e-05,0.01013,0.0101303,1.05731,1.05739,1.5688,1.5688,1.62199,1.62201,1.00107,1.00107,1.00019,1.00019,1.0567,1.05679,1.62225,1.62229,23.9601,23.9601
680932,24290,109135,0.134014,28.0334,-0.0029119,0.00292258,-1.12995e-05,0.00086629,0.000866364,-0.0198653,0.020834,0.000243571,0.00613513,0.00613997,-0.00580092,0.00523882,-7.28031e-05,0.0014602,0.00146201,-0.00264173,0.00287471,-1.97953e-05,0.000725689,0.000725959,-0.00252378,0.00244004,-1.52071e-05,0.000696624,0.00069679,-0.00253702,0.00267167,-1.19398e-05,0.000732147,0.000732244,-0.00566043,0.00684635,-6.01434e-05,0.00174285,0.00174388,-0.00302688,0.00316876,-1.47068e-05,0.000819522,0.000819653,-0.0133643,0.0152417,0.000137994,0.0047051,0.00470713,-0.0036937,0.00452376,-5.17048e-05,0.00122481,0.0012259,-0.00258127,0.00299693,-1.98175e-05,0.000706593,0.000706871,-0.00247238,0.00242977,-1.71702e-05,0.000693034,0.000693246,-0.00265233,0.00274731,-1.51104e-05,0.000691248,0.000691413,-0.00484346,0.00497894,-3.60931e-05,0.0014234,0.00142386,1.05707,1.05699,1.30393,1.3044,1.19218,1.1926,1.02702,1.027,1.00518,1.00511,1.05917,1.05905,1.22443,1.22476,35.8665,35.8665
1097816,452822,48262,0.0301845,2.42439,-0.00367467,0.00417934,1.34934e-05,0.00107914,0.00107922,-0.00704011,0.00702261,4.77191e-05,0.00198174,0.00198231,-0.0604921,0.0557723,-0.000549816,0.0171795,0.0171883,-0.00242271,0.00297945,-1.02279e-05,0.000734143,0.000734214,-0.00244358,0.00246994,-9.83263e-06,0.000724219,0.000724286,-0.00267867,0.00286056,6.1832e-06,0.000770997,0.000771022,-0.0619545,0.0581053,-0.00054653,0.0177048,0.0177132,-0.00327895,0.0032318,1.92374e-05,0.000834864,0.000835086,-0.00465179,0.00520459,6.29796e-05,0.00120034,0.00120199,-0.032075,0.0330967,-0.000687337,0.00899813,0.00902435,-0.00242614,0.00304141,-1.05168e-05,0.0007324,0.000732475,-0.00247475,0.00245648,-9.28726e-06,0.00072359,0.00072365,-0.00244177,0.00246808,1.0298e-05,0.000608159,0.000608246,-0.0329371,0.0332588,-0.000695318,0.00923099,0.00925714,1.29259,1.29235,1.65099,1.6492,1.90923,1.90466,1.00238,1.00237,1.00087,1.00088,1.26776,1.26762,1.91797,1.91347,39.2676,39.2676
84256,2919,2210,0.0247245,28.8647,-0.00255448,0.00269689,-1.78056e-05,0.000761049,0.000761257,-0.0196593,0.0197905,-0.000227602,0.00557075,0.00557539,-0.0259476,0.0261897,0.00027289,0.00726089,0.00726602,-0.00263377,0.00221353,-1.03756e-05,0.000717396,0.000717472,-0.00322811,0.00205795,-1.19487e-05,0.000694635,0.000694738,-0.00244737,0.00253473,-1.74695e-05,0.000719762,0.000719974,-0.0270344,0.0257333,0.000292188,0.00747327,0.00747898,-0.00259347,0.00229028,-1.34653e-05,0.000736046,0.000736169,-0.0132496,0.0144526,-0.000119067,0.00390425,0.00390607,-0.0174828,0.0173744,0.000132252,0.00506887,0.0050706,-0.00269366,0.00220017,-9.74092e-06,0.000714035,0.000714102,-0.00323394,0.00206999,-1.0778e-05,0.000694028,0.000694111,-0.00248164,0.00214689,-1.33111e-05,0.000696048,0.000696175,-0.0175539,0.017733,0.000146433,0.00519089,0.00519295,1.03397,1.03408,1.42684,1.42737,1.43245,1.43297,1.00471,1.00472,1.00088,1.0009,1.03407,1.03418,1.43969,1.44022,25.2466,25.2466
13049219720,721215037,145319400,0.0104428,18.0934,-0.00394183,0.00361235,7.78561e-06,0.00108508,0.0010851,-0.0208173,0.0200912,3.20015e-05,0.00615492,0.00615501,-0.101295,0.101092,-0.000175068,0.0300467,0.0300472,-0.00389528,0.00370745,5.77174e-06,0.00103551,0.00103552,-0.0035353,0.00358233,-2.72432e-06,0.00100326,0.00100326,-0.00370442,0.0034412,7.13116e-06,0.00102001,0.00102003,-0.0999745,0.100918,-0.000173058,0.0303311,0.0303315,-0.00381909,0.00358238,2.32276e-06,0.00105396,0.00105396,-0.0114246,0.0112066,-4.4217e-05,0.00320232,0.00320263,-0.0459382,0.0522592,0.000203302,0.0150059,0.0150073,-0.00388124,0.00370177,4.53627e-06,0.00103604,0.00103605,-0.0035361,0.00358377,-2.70753e-06,0.00100326,0.00100326,-0.00349951,0.00341308,2.00953e-06,0.000990718,0.00099072,-0.0476112,0.0523928,0.00020397,0.0151508,0.0151522,1.02952,1.02955,1.92202,1.92186,2.00232,2.00217,0.999483,0.999489,1,1,1.02956,1.02959,2.00194,2.00179,41.1509,41.1509
59347163,1287276,286512,0.00470301,46.1029,-0.00349122,0.00352796,6.71345e-06,0.00101704,0.00101706,-0.0339556,0.0399565,-0.000278679,0.00964143,0.00964546,-0.174251,0.152021,0.00118349,0.0432722,0.0432884,-0.00323978,0.00376593,1.23673e-05,0.000987416,0.000987494,-0.00290025,0.00267023,-1.24875e-05,0.000781061,0.000781161,-0.00338181,0.00345261,6.21742e-06,0.000991081,0.000991101,-0.175805,0.153993,0.00118766,0.0435015,0.0435177,-0.00326551,0.00358374,1.24445e-05,0.000996938,0.000997016,-0.0159192,0.0153783,-6.86334e-05,0.00488185,0.00488233,-0.0643967,0.0704964,0.000239785,0.0216814,0.0216828,-0.00322325,0.00376144,1.35368e-05,0.000986988,0.000987081,-0.00289877,0.00266937,-1.24851e-05,0.000781091,0.000781191,-0.00316192,0.00350697,1.18005e-05,0.000971583,0.000971655,-0.0656317,0.0724521,0.000231055,0.0218008,0.0218021,1.02016,1.02011,1.97495,1.97558,1.99582,1.99644,1.00043,1.00042,0.999962,0.999962,1.02007,1.02001,1.9954,1.99604,39.462,39.462
119095712,5235826,586521,0.00469525,22.7463,-0.00393253,0.00415579,1.06316e-05,0.00109046,0.00109051,-0.0256542,0.024168,-0.000126425,0.00703155,0.00703269,-0.237717,0.210058,0.00116376,0.0623011,0.062312,-0.00402541,0.00348585,1.62827e-05,0.00104229,0.00104242,-0.00314297,0.00342267,3.54333e-06,0.000910911,0.000910918,-0.00372218,0.00396627,1.03012e-05,0.00104081,0.00104086,-0.23804,0.210768,0.00117249,0.062596,0.062607,-0.00396266,0.00392844,1.49596e-05,0.00105301,0.00105312,-0.0110027,0.0128435,-3.74961e-05,0.00312716,0.00312739,-0.103917,0.102137,0.000369903,0.0268855,0.026888,-0.00403149,0.00347843,1.6699e-05,0.00104227,0.00104241,-0.00314355,0.00342269,3.54372e-06,0.000910924,0.00091093,-0.00375089,0.00376532,1.44275e-05,0.00100511,0.00100521,-0.104373,0.101971,0.000359257,0.0270057,0.0270081,1.03556,1.03551,2.24854,2.24874,2.31728,2.31747,1.00002,1.00001,0.999986,0.999986,1.03552,1.03546,2.31788,2.31808,39.8941,39.8941
1521135167,30469684,325353043,0.173341,49.9229,-0.00432927,0.00377803,-1.99995e-05,0.00119997,0.00120014,-0.0351349,0.0442111,-9.55737e-06,0.0111428,0.0111428,-0.00513386,0.00546185,-2.4497e-05,0.00143044,0.00143065,-0.00333869,0.00330686,-2.07919e-05,0.000991537,0.000991755,-0.00346499,0.00338039,-2.32177e-05,0.000993888,0.000994159,-0.00343125,0.00340261,-2.06096e-05,0.00098985,0.000990064,-0.00601681,0.00655587,-2.93229e-06,0.00172535,0.00172535,-0.00453876,0.00330278,-1.62523e-05,0.00111423,0.00111435,-0.0286487,0.0326476,3.89935e-05,0.00877626,0.00877634,-0.00470493,0.00513867,-2.89503e-05,0.00129516,0.00129549,-0.00385073,0.00308003,-1.84897e-05,0.000939421,0.000939603,-0.00346796,0.00336259,-2.31322e-05,0.000993355,0.000993624,-0.00399869,0.00288197,-1.75565e-05,0.00092158,0.000921748,-0.00551253,0.0057369,-1.06999e-05,0.00148869,0.00148873,1.07695,1.07699,1.26966,1.26964,1.10445,1.10433,1.05548,1.0555,1.00054,1.00054,1.07408,1.07412,1.15897,1.15894,39.9748,39.9748
1783650614,21296023,389170221,0.17737,83.7551,-0.00531919,0.00391239,4.97451e-06,0.00121876,0.00121877,-0.0483857,0.0523625,0.00034838,0.0146466,0.0146507,-0.00404656,0.00488936,-4.08448e-05,0.00127451,0.00127517,-0.00449136,0.00343263,-3.23211e-06,0.00100502,0.00100503,-0.00323711,0.00383551,-2.06508e-05,0.0010054,0.00100561,-0.00428186,0.00334398,1.80627e-07,0.00100717,0.00100717,-0.00491192,0.00630383,-4.0079e-05,0.00158208,0.00158259,-0.00517762,0.00365409,2.15435e-06,0.00114134,0.00114134,-0.040716,0.0437494,-5.50798e-05,0.0116209,0.0116211,-0.00367926,0.00471209,-1.95174e-05,0.00118518,0.00118534,-0.00425556,0.00306704,-1.72724e-06,0.000954822,0.000954824,-0.00325113,0.00384519,-2.13624e-05,0.00100515,0.00100538,-0.00417114,0.00302807,-2.24507e-06,0.000946325,0.000946328,-0.00457126,0.00588166,-1.65343e-05,0.00140903,0.00140913,1.06783,1.06784,1.26036,1.26071,1.07538,1.07578,1.05257,1.05258,1.00025,1.00023,1.06429,1.06429,1.12281,1.1231,39.6334,39.6334
